industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning
AI Infrastructure,6,6,0.054269,0.073694,0.055743,0.206610,22365232.611111,18749289.566667,12862077.391667,1.243648,200.224001,197.882999,193.659972,-0.072918,4.666667,-5.000000,0,0.050531,False
Adtech,6,6,-0.000709,0.012752,0.058816,0.202611,8841696.444444,7162431.200000,5233311.966667,1.649807,110.654999,107.442499,106.190250,-0.040598,6.000000,2.000000,0,-0.041217,True
Cloud Software,6,6,0.087905,0.106400,0.152062,0.303462,11570802.611111,10153748.233333,10219949.558333,1.103129,165.470002,159.980668,156.583418,-0.039531,5.833333,9.000000,2,-0.045026,False
Consumer Platforms,6,6,-0.003395,-0.019314,-0.041718,0.029394,17434359.055556,18385745.433333,14875278.858333,1.121624,153.298000,155.977833,164.191042,-0.067905,4.500000,-2.000000,0,-0.026180,False
Cybersecurity,6,6,0.116638,0.141963,0.168655,0.366241,5849569.111111,4789054.800000,4231062.866667,1.338175,170.867000,164.685666,157.920333,-0.027278,6.666667,8.000000,2,0.007027,False
Defense,7,7,-0.014524,-0.046537,-0.032331,-0.135867,1947815.047619,1941720.457143,1853774.400000,0.864072,337.115142,341.537284,358.143643,-0.063109,4.000000,1.000000,0,0.004958,False
Defense Drones,5,5,0.004674,-0.064776,-0.105294,-0.081256,12117294.000000,12674636.400000,13995725.100000,0.948264,51.236399,53.540200,56.650650,-0.131501,3.600000,0.000000,0,0.034005,False
Defensive Healthcare,6,6,-0.010407,-0.016613,-0.013642,-0.016926,12746077.611111,13064909.900000,13003439.975000,0.696156,169.204000,169.204167,167.728010,-0.040696,3.833333,-2.000000,0,-0.001361,False
Defensive Staples,6,6,0.001815,-0.005651,0.007251,0.016365,8077377.333333,7739729.733333,8671447.433333,0.771129,267.678664,267.084944,265.271271,-0.021566,5.333333,-5.000000,0,-0.003027,False
Energy Storage,5,5,0.145699,0.182274,0.149617,0.236920,8841847.666667,6620944.600000,4201115.150000,1.725905,73.540401,70.992001,66.736750,-0.131146,5.400000,3.000000,0,0.106402,False
Fintech,6,6,-0.002514,-0.009044,-0.046884,0.134669,19948698.944444,20827789.366667,23036049.008333,1.230713,79.452668,78.852917,79.622334,-0.097912,4.333333,0.000000,0,-0.014448,False
Market ETFs,6,6,0.018390,0.023844,0.033885,0.090214,21695702.111111,20933041.266667,21845625.316667,0.871187,537.835999,532.233000,524.817815,-0.009858,5.833333,-4.000000,0,0.005884,False
Nuclear,8,8,0.032958,0.020024,0.012692,0.172048,10541673.750000,8792569.250000,9877170.437500,0.933480,115.974750,115.148375,113.445407,-0.111017,4.000000,-6.000000,0,0.007276,False
Renewables,5,5,0.015144,0.046486,0.041475,0.090093,2897049.733333,2675949.840000,2730872.460000,0.803340,308.005596,306.272397,299.316098,-0.053684,5.000000,-5.000000,0,0.012853,False
Robotics Automation,6,6,0.008638,0.032629,0.001400,0.056819,2863609.888889,2519705.933333,1958954.816667,1.192311,265.946666,262.703500,264.873249,-0.084028,5.000000,-3.000000,0,-0.012655,False
Semiconductors,11,11,0.102828,0.140536,0.178319,0.427642,51482524.030303,47864770.781818,43081709.968182,1.230292,436.730546,419.254775,400.590192,-0.052140,5.727273,0.000000,3,0.057483,False
Space,11,11,0.148546,0.107978,0.139269,0.123979,13276719.393939,11296495.272727,10782772.000000,1.472837,36.214182,35.433227,36.241250,-0.096420,4.909091,9.000000,0,0.137944,False
