ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry
ANET,Arista Networks Inc.,AI Infrastructure,2026-05-08,124,-0.167137,-0.179097,-0.198632,-0.037869,23784407.000000,18841184.200000,10136196.050000,1.723558,154.684000,162.526999,163.906499,-0.179260,3,False,False,False,True,-0.254375
VRT,Vertiv Holdings Co.,AI Infrastructure,2026-05-08,124,-0.003079,0.035515,0.051042,0.152011,5034307.333333,5097304.400000,5711086.100000,0.711182,342.178003,330.132999,319.581500,-0.053965,5,False,False,False,False,-0.004701
DELL,Dell Technologies Inc.,AI Infrastructure,2026-05-08,124,0.204049,0.239282,0.205331,0.469437,8691379.000000,6855467.400000,6495971.850000,1.853246,231.498001,220.417000,210.066834,-0.047738,6,True,True,True,True,0.149588
HPE,Hewlett Packard Enterprise Co.,AI Infrastructure,2026-05-08,124,0.043609,0.097305,0.113281,0.259542,14304685.666667,13314451.400000,14137792.850000,1.013847,30.034000,29.238000,27.989000,-0.023410,7,True,True,False,False,0.057538
SMCI,Super Micro Computer Inc.,AI Infrastructure,2026-05-08,124,0.270931,0.305648,0.216300,0.400237,79290121.666667,64500433.000000,37945418.250000,1.293420,31.880000,29.531000,28.749000,-0.054937,4,True,False,False,True,0.160557
ETN,Eaton Corporation plc,AI Infrastructure,2026-05-08,124,-0.022757,-0.056492,-0.052864,-0.003697,3086495.000000,3886897.000000,2745999.250000,0.866637,411.070001,415.451999,411.667000,-0.078197,3,False,False,False,False,-0.108607
NVDA,NVIDIA Corporation,Semiconductors,2026-05-08,124,0.095165,0.084404,0.033274,0.140858,163599634.666667,145914720.800000,150588710.200000,0.890692,205.901999,206.656000,203.181499,-0.092840,5,True,False,False,True,-0.145045
AMD,Advanced Micro Devices Inc.,Semiconductors,2026-05-08,124,0.281287,0.262523,0.308732,0.857615,63273307.666667,59211044.600000,46719911.150000,1.224365,396.368005,369.182001,326.226501,-0.052699,6,True,True,True,True,0.130412
AVGO,Broadcom Inc.,Semiconductors,2026-05-08,124,0.006177,0.020699,0.017126,0.157314,21966978.333333,20443307.000000,20564971.750000,1.089339,422.371997,417.404999,410.173001,-0.043926,5,True,False,False,False,-0.161194
TSM,Taiwan Semiconductor Manufacturing Co. Ltd.,Semiconductors,2026-05-08,124,0.043787,0.035230,0.022909,0.110847,16541857.333333,14836614.400000,14615813.600000,1.264793,408.269995,402.622998,389.575999,-0.031211,6,True,True,False,False,-0.155410
ASML,ASML Holding N.V.,Semiconductors,2026-05-08,124,0.103332,0.115626,0.094531,0.079293,2106798.333333,1939499.000000,1855134.750000,1.229719,1496.497998,1455.957996,1457.661725,-0.036679,5,True,False,False,False,-0.083789
MU,Micron Technology Inc.,Semiconductors,2026-05-08,124,0.166526,0.377345,0.503483,0.775625,55797887.333333,55541172.400000,42654748.100000,1.503710,655.336011,588.336008,525.391507,-0.038642,7,True,True,True,True,0.325163
QCOM,Qualcomm Incorporated,Semiconductors,2026-05-08,124,0.174430,0.237727,0.471884,0.710839,39658673.333333,35273664.000000,23673536.000000,1.594135,193.828003,178.199001,157.087001,-0.062368,7,True,True,True,True,0.293565
INTC,Intel Corporation,Semiconductors,2026-05-08,124,0.155062,0.253965,0.513448,1.002565,167436118.666667,164016871.200000,148001757.800000,1.501931,110.296001,100.984000,84.366000,-0.038547,6,False,True,True,True,0.335129
ARM,Arm Holdings plc,Semiconductors,2026-05-08,124,0.021212,0.009897,-0.091734,0.432015,20040758.000000,14963274.800000,10651043.700000,1.076568,215.195999,211.370000,195.374001,-0.101264,5,True,False,False,True,-0.270053
AMAT,Applied Materials Inc.,Semiconductors,2026-05-08,124,0.059929,0.119153,0.044120,0.089990,7315463.666667,6665958.200000,5940449.550000,1.172199,415.380005,402.902997,400.594000,-0.058662,6,True,True,False,False,-0.134199
TXN,Texas Instruments Incorporated,Semiconductors,2026-05-08,124,0.024199,0.029330,0.043741,0.347098,8570287.000000,7706352.200000,8632733.050000,0.985755,284.589996,278.186526,256.860880,-0.016698,5,True,False,False,False,-0.134579
AVAV,AeroVironment Inc.,Defense Drones,2026-05-08,124,0.009599,-0.090177,-0.142602,-0.063599,1145772.000000,1297123.200000,1173635.800000,0.779046,171.557996,180.935999,190.284500,-0.148411,3,False,False,False,True,-0.037308
KTOS,Kratos Defense & Security Solutions Inc.,Defense Drones,2026-05-08,124,-0.023942,-0.067043,-0.055011,-0.176997,4851584.333333,4387770.600000,3835152.650000,1.106306,59.530000,60.713000,65.408501,-0.097530,4,False,False,False,True,0.050283
RCAT,Red Cat Holdings Inc.,Defense Drones,2026-05-08,124,-0.005753,-0.076581,-0.121186,-0.161681,8654318.666667,8823971.200000,9699677.800000,0.889107,10.556000,10.983000,11.894250,-0.116041,3,False,False,False,True,-0.015892
ONDS,Ondas Holdings Inc.,Defense Drones,2026-05-08,124,-0.028939,-0.122093,-0.141232,-0.007667,44348584.333333,47506290.600000,53795297.650000,0.617897,9.270000,9.763000,10.024000,-0.188128,5,False,False,False,True,-0.035938
DPRO,Draganfly Inc.,Defense Drones,2026-05-08,124,0.072407,0.032015,-0.066440,0.003663,1586210.666667,1358026.400000,1474861.600000,1.348962,5.268000,5.306000,5.642000,-0.107394,3,True,False,False,True,0.038855
RTX,RTX Corporation,Defense,2026-05-08,124,0.018627,0.012070,0.010502,-0.126364,6006427.000000,5564356.200000,5696324.050000,1.099197,175.075998,174.728999,182.980000,-0.018175,4,True,False,False,False,0.042833
LHX,L3Harris Technologies Inc.,Defense,2026-05-08,124,-0.009945,-0.043814,-0.056282,-0.152578,1603942.333333,1666705.400000,1564296.350000,0.546845,302.858002,311.494998,327.820001,-0.077690,2,False,False,False,False,-0.023950
NOC,Northrop Grumman Corporation,Defense,2026-05-08,124,-0.016255,-0.032774,-0.044496,-0.184362,782995.333333,796077.200000,832279.300000,0.883220,557.397998,566.012000,602.934000,-0.051701,4,False,False,False,False,-0.012164
LMT,Lockheed Martin Corporation,Defense,2026-05-08,124,-0.004755,-0.012208,-0.013516,-0.174689,1558583.666667,1482370.200000,1626262.550000,0.632771,512.052002,512.644995,546.019998,-0.022465,3,False,False,False,False,0.018815
GD,General Dynamics Corporation,Defense,2026-05-08,124,-0.007532,0.001995,0.106382,0.033955,1220620.000000,1293032.000000,1562573.000000,0.469712,347.959998,339.487997,334.796500,-0.007532,7,False,True,False,False,0.138714
HII,Huntington Ingalls Industries Inc.,Defense,2026-05-08,124,-0.030203,-0.122906,-0.119708,-0.198093,735443.333333,888686.000000,567416.500000,1.084089,328.008002,344.690002,364.762503,-0.136073,5,False,False,False,True,-0.087377
LDOS,Leidos Holdings Inc.,Defense,2026-05-08,124,-0.051607,-0.128124,-0.109202,-0.148940,1726693.666667,1900816.200000,1127269.050000,1.332673,136.453998,141.701999,147.692500,-0.128124,3,False,False,False,True,-0.076870
RKLB,Rocket Lab USA Inc.,Space,2026-05-08,124,0.339132,0.338282,0.323670,0.549890,39581568.000000,30422400.800000,24572300.200000,3.093833,85.554001,82.699000,82.079000,-0.071707,5,True,False,False,True,0.184401
LUNR,Intuitive Machines Inc.,Space,2026-05-08,124,0.168145,0.130757,0.134743,0.229105,11755699.000000,11562999.400000,13047524.850000,1.233199,25.912000,25.610000,26.064500,-0.084314,6,True,True,False,True,-0.004525
ASTS,AST SpaceMobile Inc.,Space,2026-05-08,124,0.175043,0.058683,-0.017670,-0.209168,20171226.333333,18580035.800000,18804378.950000,1.190780,68.676000,70.709999,77.942000,-0.172668,4,True,False,False,True,-0.156939
IRDM,Iridium Communications Inc.,Space,2026-05-08,124,0.056844,0.051217,0.064168,0.212281,1947602.333333,1840621.400000,2689825.350000,0.887495,40.271999,39.100999,39.529500,-0.027005,5,True,False,False,False,-0.075100
SPCE,Virgin Galactic Holdings Inc.,Space,2026-05-08,124,0.200000,0.109434,0.139535,-0.026490,8442585.333333,6961351.200000,8139672.800000,1.956867,2.616000,2.536000,2.704500,-0.082677,4,True,False,False,True,0.000266
PL,Planet Labs PBC,Space,2026-05-08,124,0.051441,0.057995,0.101580,0.126046,10089825.333333,9436755.200000,10484038.800000,1.153322,37.928001,36.807001,36.891500,-0.112119,5,True,False,False,True,-0.037688
RDW,Redwire Corporation,Space,2026-05-08,124,0.273878,0.185225,0.143595,0.191604,38849742.000000,32373285.200000,27157446.300000,1.966832,9.448000,9.274000,9.809000,-0.078242,5,True,False,False,False,0.004326
BKSY,BlackSky Technology Inc.,Space,2026-05-08,124,0.097052,0.109705,0.166125,0.155536,3538682.333333,2542249.400000,1975727.350000,1.646860,36.898000,35.161000,35.869000,-0.204147,6,True,True,True,True,0.026856
VSAT,Viasat Inc.,Space,2026-05-08,124,0.067714,0.075092,0.129376,0.244622,1528451.000000,1242390.600000,1449407.650000,1.046878,66.606001,64.006001,62.592501,-0.031710,5,True,False,False,False,-0.009893
SATL,Satellogic Inc.,Space,2026-05-08,124,0.081429,0.054318,0.226904,0.032742,8964754.666667,7907052.800000,8330948.200000,1.329904,7.078000,6.759500,6.897250,-0.077994,5,False,False,False,False,0.087636
SPIR,Spire Global Inc.,Space,2026-05-08,124,0.123329,0.017052,0.119927,-0.142393,1173777.000000,1392306.200000,1959221.550000,0.695241,17.368000,17.102000,18.275000,-0.118033,4,False,False,False,True,-0.019341
CRWD,CrowdStrike Holdings Inc.,Cybersecurity,2026-05-08,124,0.107527,0.158305,0.177716,0.392460,3782262.333333,3151077.400000,2855484.350000,1.412505,489.466003,471.070001,450.385001,-0.020308,7,True,True,True,True,0.009061
PANW,Palo Alto Networks Inc.,Cybersecurity,2026-05-08,124,0.129905,0.148001,0.164333,0.334875,9259466.333333,7564039.800000,6708799.950000,1.732977,191.325998,186.245999,178.148000,-0.019573,6,True,True,False,True,-0.004322
