industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime
AI Infrastructure,6,6,-0.006967,-0.007272,0.095116,0.171359,13739491.888889,15465655.133333,13265983.783333,0.978836,201.910333,201.083269,196.812438,-0.092554,5.166667,0.500000,0.666667,0.500000,0.166667,0.333333,0.458333,-1.000000,0,-0.037671,True,exhaustion
Adtech,6,6,-0.095794,-0.083623,-0.039286,-0.027403,5669229.944444,7680687.966667,5454848.658333,1.184970,110.231333,109.143000,107.612417,-0.119468,5.000000,0.000000,0.333333,0.000000,0.000000,0.666667,0.150000,-11.000000,0,-0.040494,False,weak
Cloud Software,6,6,-0.030804,0.084022,0.105074,0.131438,8151579.500000,10105514.366667,9920011.925000,0.863326,173.603334,165.437834,160.617917,-0.060450,5.000000,0.500000,0.500000,0.333333,0.000000,0.000000,0.308333,-4.000000,0,0.016368,True,exhaustion
Consumer Platforms,6,6,-0.036499,-0.049779,-0.044332,-0.109862,13620778.444444,14642560.400000,15056186.766667,0.866480,151.067333,153.126333,161.280334,-0.092173,4.333333,0.166667,0.166667,0.000000,0.000000,0.166667,0.091667,-3.000000,0,-0.033465,False,weak
Cybersecurity,6,6,0.011704,0.138466,0.163632,0.274303,4313898.111111,5286888.866667,4147420.550000,1.139796,185.913001,173.747000,164.918500,-0.034108,6.166667,0.833333,0.833333,0.500000,0.166667,0.333333,0.566667,-1.000000,0,0.032670,True,exhaustion
Defense,7,7,0.007991,-0.005247,-0.036428,-0.136280,1664066.333333,1766599.800000,1925821.378571,0.616113,334.929714,339.090428,349.744071,-0.069453,4.285714,0.571429,0.428571,0.000000,0.000000,0.000000,0.221429,1.000000,0,-0.009739,False,weak
Defense Drones,5,5,-0.056659,-0.082016,-0.082256,-0.197377,14126923.200000,12961193.920000,14224645.480000,1.583764,49.563600,51.567000,55.095750,-0.146318,4.200000,0.000000,0.200000,0.000000,0.000000,0.400000,0.090000,0.000000,0,-0.094191,False,weak
Defensive Healthcare,6,6,0.026936,0.018463,0.017630,0.008491,12607678.222222,12785226.933333,13210589.233333,0.893521,171.562667,170.710858,168.811612,-0.037286,5.333333,0.500000,0.833333,0.166667,0.000000,0.000000,0.350000,1.000000,0,0.007297,False,neutral
Defensive Staples,6,6,-0.000663,-0.003558,0.009166,0.032435,8635431.500000,8416268.900000,8733904.725000,0.836278,268.042064,268.037414,266.422568,-0.029952,5.833333,0.500000,0.666667,0.166667,0.000000,0.000000,0.308333,-4.000000,0,-0.005076,False,neutral
Energy Storage,5,5,0.015203,0.135909,0.233887,0.206500,7096922.200000,8536021.320000,4803480.330000,1.203661,75.799200,74.029200,69.042350,-0.109090,6.600000,0.600000,0.800000,0.400000,0.400000,0.400000,0.540000,3.000000,3,0.038791,True,exhaustion
Fintech,6,6,-0.017785,-0.023166,0.011307,-0.045246,20992044.000000,20738339.733333,22709456.600000,0.891661,80.088667,79.532167,80.439500,-0.069993,4.500000,0.166667,0.666667,0.166667,0.000000,0.166667,0.258333,2.000000,0,-0.027764,False,neutral
Market ETFs,6,6,0.003254,0.006652,0.044038,0.062354,20201441.388889,20882141.500000,21429082.041667,0.823377,544.565332,538.787333,530.414449,-0.008410,6.833333,0.666667,1.000000,0.666667,0.000000,0.000000,0.550000,-2.000000,0,-0.010663,False,momentum_leader
Nuclear,8,8,-0.037547,-0.102379,0.043179,0.002584,10137899.208333,9929562.025000,9948543.631250,1.003549,111.964501,114.210250,113.668032,-0.111117,3.875000,0.000000,0.750000,0.000000,0.000000,0.250000,0.212500,1.000000,0,-0.125141,False,neutral
Renewables,5,5,0.058647,0.069975,0.161586,0.168408,3363059.466667,3207003.680000,2812538.920000,1.579620,309.139997,308.873194,303.718397,-0.042100,6.400000,0.800000,0.800000,0.800000,0.400000,0.400000,0.680000,3.000000,0,0.044425,False,momentum_leader
Robotics Automation,6,6,-0.002513,-0.032207,0.079450,0.024902,2337227.166667,2541596.300000,2085101.575000,1.007058,266.968998,264.600833,265.470833,-0.079417,5.666667,0.333333,0.666667,0.333333,0.166667,0.333333,0.383333,2.000000,0,-0.042741,True,exhaustion
Semiconductors,11,11,0.007119,0.044235,0.195099,0.380258,46316145.484848,47913932.745455,44648025.913636,0.864452,461.184545,440.077622,414.379436,-0.054730,5.818182,0.727273,1.000000,0.545455,0.000000,0.000000,0.531818,-2.000000,6,-0.043358,True,exhaustion
Space,11,11,0.056179,0.131139,0.276339,0.183677,14097974.424242,14659179.200000,11275527.527273,0.925947,40.309637,37.977364,37.278341,-0.097932,6.000000,1.000000,1.000000,0.727273,0.090909,0.181818,0.668182,15.000000,3,-0.042442,True,exhaustion
