ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,industry_regime,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
ANET,Arista Networks Inc.,AI Infrastructure,2026-05-15,251,-0.003999,0.001411,-0.177939,-0.135542,13566645.666667,14403387.400000,12102646.850000,0.892956,141.887997,148.285999,160.080499,-0.209651,3,False,False,False,True,-0.236091,infrastructure_leader,5,-0.113134,-0.201204,0.609095,exhaustion,reasonable_pullback,neutral,reasonable_pullback,sideways_base,avoid_for_now,10807137,ok,資料日期與本次市場日期一致。
VRT,Vertiv Holdings Co.,AI Infrastructure,2026-05-15,251,0.010378,0.091096,0.129847,0.206937,4293173.666667,5342984.200000,5761831.050000,0.834322,370.442004,356.310004,336.537001,-0.052797,6,True,True,False,False,0.071694,infrastructure_leader,5,0.102227,-0.014061,0.980605,exhaustion,extended,very_extended,very_extended,overextended,not_eligible_industry,4807221,ok,資料日期與本次市場日期一致。
DELL,Dell Technologies Inc.,AI Infrastructure,2026-05-15,251,0.012765,-0.070913,0.151401,0.234997,5357222.000000,6947893.200000,6122303.300000,0.787492,243.945999,237.722000,224.137499,-0.082623,6,False,False,False,True,0.093249,challenger,5,0.079650,-0.070913,0.880064,exhaustion,neutral,extended,extended,overextended,not_eligible_industry,4821266,ok,資料日期與本次市場日期一致。
HPE,Hewlett Packard Enterprise Co.,AI Infrastructure,2026-05-15,251,0.095664,0.055821,0.158558,0.251891,26179056.333333,20787113.800000,15700328.450000,1.042995,32.076000,31.055000,29.696500,-0.036364,6,False,True,False,False,0.100405,non_leader,5,0.114609,-0.030179,0.940381,exhaustion,extended,very_extended,very_extended,overextended,not_eligible_industry,16375369,ok,資料日期與本次市場日期一致。
SMCI,Super Micro Computer Inc.,AI Infrastructure,2026-05-15,251,-0.053370,-0.122420,0.145810,0.086835,28323132.000000,31952119.200000,38539974.800000,0.703950,32.476000,32.178000,29.997000,-0.122420,4,False,False,False,True,0.087658,challenger,5,0.034770,-0.488717,0.261573,exhaustion,neutral,reasonable_pullback,reasonable_pullback,pullback_in_uptrend,not_eligible_industry,27130196,ok,資料日期與本次市場日期一致。
ETN,Eaton Corporation plc,AI Infrastructure,2026-05-15,251,-0.005205,-0.005156,-0.058762,-0.013949,2526919.000000,2851711.400000,2941687.850000,1.105507,407.002002,408.580225,412.650812,-0.055132,5,False,False,False,False,-0.116915,infrastructure_leader,5,-0.032014,-0.074978,0.725263,exhaustion,reasonable_pullback,neutral,reasonable_pullback,sideways_base,not_eligible_industry,3252057,ok,資料日期與本次市場日期一致。
NVDA,NVIDIA Corporation,Semiconductors,2026-05-15,251,0.020563,0.047026,0.135399,0.117215,169504056.000000,165674913.600000,153390553.400000,1.156029,225.422003,215.662001,210.301001,-0.044201,8,False,True,False,False,0.030657,core_leader,5,0.071417,-0.044201,0.900269,exhaustion,neutral,extended,extended,strong_uptrend,not_eligible_industry,177323868,ok,資料日期與本次市場日期一致。
AMD,Advanced Micro Devices Inc.,Semiconductors,2026-05-15,251,-0.053961,-0.068301,0.176291,0.523402,28418941.333333,34096464.800000,46611616.200000,0.616152,445.276007,420.822006,371.712001,-0.075612,5,False,False,False,False,0.071549,challenger,5,0.140937,-0.075612,0.900453,exhaustion,extended,extended,extended,sideways_base,not_eligible_industry,28719824,ok,資料日期與本次市場日期一致。
AVGO,Broadcom Inc.,Semiconductors,2026-05-15,251,0.014047,-0.011186,0.009281,0.045875,18522168.000000,18279260.800000,19265110.200000,0.978531,425.900000,424.135999,418.535001,-0.034631,3,False,False,False,False,-0.095461,core_leader,5,0.015901,-0.033198,0.931461,exhaustion,neutral,very_extended,very_extended,overextended,not_eligible_industry,18851504,ok,資料日期與本次市場日期一致。
TSM,Taiwan Semiconductor Manufacturing Co. Ltd.,Semiconductors,2026-05-15,251,0.017796,-0.017805,0.016798,0.091363,14496427.333333,15258216.400000,14320804.100000,0.822885,404.738000,406.503998,397.839998,-0.052968,4,False,False,False,False,-0.087945,core_leader,5,0.016363,-0.036114,0.934155,exhaustion,neutral,very_extended,very_extended,overextended,not_eligible_industry,11784382,ok,資料日期與本次市場日期一致。
