industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status
AI Infrastructure,6,6,-0.027838,-0.028944,0.022154,0.049312,12669084.388889,12760197.300000,13550237.658333,0.918336,202.318668,201.889441,198.993662,-0.106179,4.333333,0.333333,0.666667,0.000000,0.000000,0.166667,0.250000,-3.000000,0,-0.020584,False,neutral,none,risk_on_growth,industry_flow_leads_leaders,inferred
Adtech,6,6,0.047803,-0.012210,-0.048031,-0.034516,5293982.000000,5353819.200000,5493042.300000,0.964777,110.505000,110.602333,108.093083,-0.131852,4.833333,0.666667,0.166667,0.166667,0.000000,0.000000,0.216667,-5.000000,0,0.058693,False,weak,none,unclear,unclear,needs_review
Cloud Software,6,6,0.093446,0.073207,0.151512,0.159789,11370589.277778,10154146.900000,10320632.558333,1.275042,176.306666,172.187334,163.985001,-0.057417,5.666667,1.000000,0.833333,0.500000,0.166667,0.500000,0.616667,1.000000,0,0.058329,False,momentum_leader,none,unclear,unclear,needs_review
Consumer Platforms,6,6,0.032152,0.011634,-0.019738,-0.083116,12114767.000000,12712546.866667,13895282.550000,0.850151,151.344334,151.667000,157.656084,-0.074659,5.000000,0.500000,0.333333,0.166667,0.000000,0.000000,0.225000,2.000000,0,0.034793,False,early_recovery,none,unclear,unclear,needs_review
Cybersecurity,6,6,0.107351,0.119916,0.257152,0.341557,5108783.611111,4788230.166667,4285883.375000,1.389286,199.303335,187.417168,173.166000,-0.034578,7.166667,1.000000,1.000000,0.666667,0.166667,0.500000,0.700000,2.000000,3,0.053297,False,momentum_leader,none,unclear,unclear,needs_review
Defense,7,7,0.002442,0.008636,-0.036615,-0.111923,1687240.095238,1712046.914286,1986267.442857,0.714969,336.126570,335.234428,342.347570,-0.040998,4.285714,0.571429,0.428571,0.000000,0.000000,0.000000,0.221429,2.000000,0,0.017989,False,early_recovery,none,unclear,unclear,needs_review
Defense Drones,5,5,0.014705,-0.060692,-0.077682,-0.178759,34622867.800000,26759160.680000,16843191.170000,0.900796,48.423201,49.462200,53.375800,-0.130406,4.400000,0.200000,0.200000,0.000000,0.000000,0.000000,0.090000,1.000000,0,-0.040781,False,weak,none,unclear,unclear,needs_review
Defensive Healthcare,6,6,-0.007449,0.019021,0.007277,0.005989,11716709.333333,12071192.266667,13263920.566667,0.934700,174.818001,171.980495,170.235249,-0.026550,5.000000,0.833333,0.500000,0.333333,0.000000,0.000000,0.375000,1.000000,0,0.003840,False,neutral,none,defensive_rotation,defensive_rotation,inferred
Defensive Staples,6,6,0.015152,0.030325,0.022794,0.036563,8818458.777778,8819688.600000,8662417.150000,0.990219,272.881664,269.943415,268.122845,-0.026804,6.666667,0.666667,0.666667,0.666667,0.166667,0.333333,0.533333,5.000000,0,0.027631,False,momentum_leader,none,defensive_rotation,defensive_rotation,inferred
Energy Storage,5,5,0.056641,0.062204,0.258816,0.268947,8004652.000000,7599223.200000,5482093.800000,1.094355,78.397599,76.601200,71.773500,-0.141140,5.800000,0.400000,0.600000,0.400000,0.400000,0.400000,0.450000,2.000000,6,-0.085813,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Fintech,6,6,-0.003760,-0.047461,-0.044300,-0.112514,19777079.111111,19826000.800000,21925026.866667,0.807646,79.352166,79.622750,79.781167,-0.067648,3.500000,0.000000,0.166667,0.000000,0.000000,0.000000,0.041667,2.000000,0,-0.032659,False,weak,none,unclear,unclear,needs_review
Market ETFs,6,6,-0.008712,-0.008019,0.023139,0.035215,22454887.444444,22155752.466667,21154709.783333,1.100344,546.027851,543.671635,534.379702,-0.017775,6.166667,0.166667,0.833333,0.166667,0.000000,0.333333,0.316667,1.000000,0,-0.004006,False,neutral,none,unclear,unclear,needs_review
Nuclear,8,8,-0.100936,-0.168420,-0.120906,-0.127048,8327157.583333,8751234.550000,9398367.387500,0.953738,104.294279,110.046057,111.973987,-0.199289,2.625000,0.000000,0.125000,0.000000,0.000000,0.000000,0.031250,-6.000000,0,-0.067010,False,weak,none,policy_driven,policy_or_thematic_support,inferred
Renewables,5,5,-0.027020,0.004661,0.085559,0.151814,2636078.866667,3001863.320000,2719150.830000,0.933580,313.196397,311.407797,308.353397,-0.059136,5.800000,0.600000,0.800000,0.600000,0.000000,0.000000,0.470000,1.000000,0,-0.064009,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Robotics Automation,6,6,-0.027832,-0.015433,0.016897,-0.035101,1932026.944444,2088879.500000,2150328.208333,0.921553,265.848831,266.767083,265.089874,-0.108402,5.000000,0.333333,0.500000,0.166667,0.000000,0.166667,0.250000,-1.000000,0,0.002142,False,neutral,none,unclear,unclear,needs_review
