ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,return_1m,return_3m,return_6m,return_1y,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,forward_pe,earnings_growth,peg_ratio,peg_rating,peg_status,peg_note,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
ANET,Arista Networks Inc.,AI Infrastructure,2026-07-02,251,-0.025046,-0.033001,-0.029952,-0.082468,-0.087492,0.281458,0.208019,0.560574,9714833.333333,9909080.000000,8250790.000000,1.183462,163.638004,165.181001,162.703999,-0.097159,5,False,False,False,True,0.051133,infrastructure_leader,5,-0.016681,-0.099814,0.767375,35.917780,0.250000,1.436711,fair,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,falling_knife,avoid_for_now,9764500,ok,資料日期與本次市場日期一致。
VRT,Vertiv Holdings Co.,AI Infrastructure,2026-07-02,251,-0.020979,-0.076911,-0.053687,-0.093071,-0.101341,0.158933,0.829525,1.353419,6633666.666667,9719560.000000,7426395.000000,0.794288,311.538007,320.902002,311.697202,-0.160437,5,False,False,False,True,0.027397,infrastructure_leader,5,-0.035827,-0.201041,0.704099,33.936410,1.357000,0.250084,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,5898700,ok,資料日期與本次市場日期一致。
DELL,Dell Technologies Inc.,AI Infrastructure,2026-07-02,251,-0.048938,-0.036952,-0.059620,-0.063551,-0.094163,1.335223,2.105617,2.196899,6514333.333333,7838900.000000,8684435.000000,0.761316,413.025995,416.462997,407.646999,-0.091554,5,False,False,False,True,0.021464,challenger,5,-0.032692,-0.153747,0.798329,18.423723,2.825000,0.065217,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,6611600,ok,資料日期與本次市場日期一致。
HPE,Hewlett Packard Enterprise Co.,AI Infrastructure,2026-07-02,251,-0.071606,-0.117509,-0.144606,-0.250215,-0.263569,0.724380,0.729010,0.972296,19790800.000000,22663580.000000,27891120.000000,0.680087,43.682000,45.861000,47.228041,-0.157195,4,False,False,False,True,-0.063521,non_leader,5,-0.127002,-0.263569,0.596609,10.311625,,,unavailable,missing_growth,Yahoo Finance earningsGrowth is missing.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,deep_pullback,neutral,deep_pullback,falling_knife,avoid_for_now,18968400,ok,資料日期與本次市場日期一致。
SMCI,Super Micro Computer Inc.,AI Infrastructure,2026-07-02,251,-0.033037,-0.140783,-0.020158,-0.425981,-0.457445,0.209240,-0.081956,-0.439456,50346866.666667,58150600.000000,75412070.000000,0.566785,28.596000,30.655000,32.963500,-0.232375,3,False,False,False,True,0.060926,challenger,5,-0.174238,-0.551639,0.166501,8.582392,3.260000,0.026326,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,deep_pullback,deep_pullback,deep_pullback,falling_knife,avoid_for_now,42742400,ok,資料日期與本次市場日期一致。
ETN,Eaton Corporation plc,AI Infrastructure,2026-07-02,251,-0.023857,-0.050849,-0.027146,-0.053869,-0.045735,0.093176,0.249353,0.112983,2506266.666667,2998620.000000,2580235.000000,1.008280,409.577997,413.517996,406.974500,-0.085502,5,False,False,False,True,0.053939,infrastructure_leader,5,-0.020774,-0.085502,0.694112,25.277819,-0.094000,,unavailable,invalid_growth,Yahoo Finance earningsGrowth is zero or negative.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,neutral,neutral,falling_knife,avoid_for_now,2601600,ok,資料日期與本次市場日期一致。
NBIS,Nebius Group N.V.,AI Infrastructure,2026-07-02,251,-0.174344,-0.159802,-0.232423,-0.143277,-0.172538,1.114958,1.531643,3.290945,22786600.000000,19162800.000000,18404660.000000,1.347740,244.484000,258.425999,249.111501,-0.247898,3,False,False,False,True,-0.151339,emerging_leader,4,-0.134444,-0.247898,0.706795,596.921500,,,unavailable,missing_growth,Yahoo Finance earningsGrowth is missing.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,deep_pullback,neutral,deep_pullback,falling_knife,avoid_for_now,24804700,ok,資料日期與本次市場日期一致。
NVDA,NVIDIA Corporation,Semiconductors,2026-07-02,251,-0.000718,-0.004649,-0.047984,-0.091702,-0.124598,0.109855,0.040139,0.224360,151564333.333333,156566560.000000,157270100.000000,0.903342,196.000000,199.412000,203.485000,-0.086193,3,False,False,False,True,0.027549,core_leader,5,-0.042534,-0.172575,0.475237,15.263510,2.145000,0.071159,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,neutral,reasonable_pullback,falling_knife,avoid_for_now,142068700,ok,資料日期與本次市場日期一致。
AMD,Advanced Micro Devices Inc.,Semiconductors,2026-07-02,251,-0.040168,-0.027696,0.010420,-0.045528,-0.007133,1.463346,1.404662,2.754768,30319266.666667,34066780.000000,32082065.000000,0.877204,540.135999,536.183997,516.835500,-0.108605,5,False,False,False,True,0.085954,challenger,5,0.001905,-0.108605,0.858578,39.297142,0.912000,0.430890,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,overextended,not_eligible_industry,28142500,ok,資料日期與本次市場日期一致。
AVGO,Broadcom Inc.,Semiconductors,2026-07-02,251,-0.032219,-0.048719,-0.081139,-0.246666,-0.250326,0.151617,0.034094,0.319467,26326500.000000,27620800.000000,35360260.000000,0.756485,369.002002,378.897003,383.975128,-0.122352,4,False,False,False,True,-0.005605,core_leader,5,-0.061267,-0.250326,0.429540,18.583939,0.854000,0.217611,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred,reasonable_pullback,reasonable_pullback,reasonable_pullback,falling_knife,avoid_for_now,26749500,ok,資料日期與本次市場日期一致。
