industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,return_1m,return_3m,return_6m,return_1y,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status
AI Infrastructure,7,7,0.049938,0.039100,-0.011981,0.031398,0.001457,0.546581,0.899518,1.388149,13917574.333333,13997933.171429,20507285.435714,0.770917,227.588285,230.803429,231.671099,-0.128612,5.142857,0.714286,0.714286,0.285714,0.000000,0.000000,0.392857,3.000000,0,0.083620,False,early_recovery,none,risk_on_growth,industry_flow_leads_leaders,inferred
Adtech,6,6,-0.001316,0.003931,0.116348,0.132678,0.145819,0.369078,0.073558,-0.004598,3968997.444444,4346621.800000,7035393.783333,0.630900,122.370664,119.365998,116.118540,-0.040882,5.500000,0.500000,1.000000,0.333333,0.000000,0.000000,0.433333,-1.000000,7,-0.026505,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Cloud Software,8,8,0.009604,0.018676,0.119329,-0.005951,-0.034368,0.347751,-0.062328,0.014421,13874614.708333,14471996.325000,17759206.581250,0.749314,228.052998,221.552249,219.814499,-0.032362,5.750000,0.875000,0.875000,0.750000,0.125000,0.125000,0.618750,4.000000,3,-0.026457,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Consumer Hardware,1,1,0.011386,0.074190,0.078955,0.088350,0.048683,0.222524,0.207530,0.494631,42898621.000000,51527732.600000,65325708.150000,0.687055,312.312006,298.597000,296.916000,-0.007189,7.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.700000,1.000000,0,-0.008855,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Consumer Platforms,9,9,0.011575,0.018602,0.065854,0.047807,0.044616,0.071282,-0.064491,-0.046472,16106383.222222,17370016.600000,24089768.594444,0.721791,245.782223,240.018333,237.500943,-0.032847,6.000000,0.777778,1.000000,0.555556,0.111111,0.111111,0.577778,-2.000000,0,-0.018893,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Cybersecurity,6,6,-0.011427,0.028944,0.230836,0.278682,0.255444,0.850000,0.620868,0.383707,5300527.722222,5378939.966667,6050657.491667,0.773277,171.672333,165.923375,155.238750,-0.046683,7.166667,0.833333,1.000000,0.833333,0.000000,0.000000,0.625000,0.000000,10,0.007869,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Defense,7,7,-0.026528,0.017692,0.044918,-0.017138,-0.001832,-0.170331,-0.112857,0.101979,1287278.047619,1536209.685714,1892867.421429,0.606405,335.054856,326.388185,327.199120,-0.029683,5.571429,0.714286,1.000000,0.285714,0.000000,0.000000,0.464286,2.000000,0,-0.022327,False,neutral,none,unclear,unclear,needs_review
Defense Drones,5,5,-0.084732,-0.094119,-0.003255,-0.178997,-0.224465,-0.222904,-0.398267,0.615473,16454508.133333,18046928.880000,17236446.220000,0.754050,48.219199,46.303300,47.630700,-0.140647,4.800000,0.000000,0.400000,0.000000,0.000000,0.200000,0.120000,1.000000,0,-0.018856,False,weak,none,unclear,unclear,needs_review
Defensive Healthcare,6,6,0.002270,0.013501,0.047684,0.043999,0.055826,0.091247,0.109010,0.330610,11773757.888889,13405904.733333,16232547.016667,0.600318,196.173665,194.448500,188.025141,-0.032858,5.166667,0.666667,1.000000,0.333333,0.000000,0.000000,0.466667,-5.000000,0,-0.002004,False,neutral,none,defensive_rotation,defensive_rotation,inferred
Defensive Staples,6,6,-0.018161,-0.001866,-0.026090,-0.016875,-0.005334,-0.028511,0.084792,0.063686,10315213.611111,11203254.833333,12093793.708333,0.958332,254.040665,253.256497,256.082868,-0.041873,4.000000,0.333333,0.166667,0.000000,0.000000,0.333333,0.141667,-6.000000,0,-0.022370,False,weak,none,defensive_rotation,defensive_rotation,inferred
Electric Vehicles,1,1,-0.031493,-0.044087,0.082603,0.024882,-0.005869,0.184414,-0.060999,0.312002,36171506.666667,47392024.000000,47167141.000000,0.774262,403.345996,402.929996,399.566995,-0.074888,6.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.250000,8.000000,0,0.019013,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Energy Storage,5,5,-0.053150,-0.076793,-0.066198,-0.135128,-0.172132,0.161517,0.168844,0.459353,3961178.066667,3834514.840000,4206694.710000,0.638023,73.063600,77.874000,79.725200,-0.157274,4.800000,0.000000,0.200000,0.000000,0.000000,0.000000,0.050000,1.000000,0,0.075960,False,weak,none,unclear,unclear,needs_review
Fintech,6,6,-0.019867,0.015914,0.080701,0.172851,0.157496,0.256543,-0.141379,-0.098062,20229386.611111,21735231.966667,25284334.658333,0.617056,83.760333,80.983500,79.021833,-0.043023,5.833333,0.666667,1.000000,0.500000,0.000000,0.000000,0.508333,-1.000000,0,-0.025128,True,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review
Market ETFs,8,8,-0.004703,0.001789,0.016092,0.030460,0.028401,0.158416,0.170615,0.322944,14659389.291667,15472112.100000,20054252.881250,0.649572,449.299257,448.179805,446.780900,-0.021681,5.750000,0.625000,1.000000,0.250000,0.000000,0.000000,0.437500,-1.000000,0,0.016716,False,neutral,none,unclear,unclear,needs_review
Nuclear,8,8,-0.024046,-0.020020,-0.077643,-0.042251,-0.090965,-0.110030,-0.322775,-0.105147,6082045.666667,6407149.900000,8527413.725000,0.615835,94.039125,95.642063,97.646544,-0.102940,4.000000,0.375000,0.125000,0.000000,0.000000,0.000000,0.106250,-2.000000,0,0.044053,False,weak,none,policy_driven,policy_or_thematic_support,inferred
Quantum Computing,1,1,-0.083896,-0.128988,-0.164739,-0.210266,-0.287102,0.544326,-0.118006,-0.025256,15705486.000000,15321111.600000,22958617.900000,0.565415,46.640000,49.161000,53.116500,-0.169079,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0,0.024598,False,weak,none,unclear,unclear,needs_review
Renewables,5,5,-0.042334,-0.040259,-0.073683,-0.068641,-0.097702,0.022796,0.055905,0.456091,2950833.866667,2848292.320000,3313706.080000,0.721724,311.064399,313.533800,309.414987,-0.108190,4.400000,0.000000,0.200000,0.000000,0.000000,0.000000,0.050000,-4.000000,0,0.027852,False,weak,none,unclear,unclear,needs_review
Robotics Automation,6,6,-0.033272,-0.043382,0.019466,0.035637,0.030610,0.058983,0.133049,0.579704,2006411.666667,2117477.000000,2439976.750000,0.747927,271.906998,278.472832,274.409333,-0.103564,6.000000,0.333333,0.833333,0.166667,0.000000,0.000000,0.316667,-2.000000,0,0.036015,False,neutral,none,unclear,unclear,needs_review
Semiconductors,18,18,0.005180,-0.020333,-0.036032,0.016445,0.002346,0.574001,0.791653,1.578602,26946738.481481,27218189.755556,32407781.883333,0.759072,413.713219,429.649816,433.710839,-0.152707,5.388889,0.444444,0.277778,0.055556,0.000000,0.000000,0.172222,0.000000,0,0.079600,False,weak,none,risk_on_growth,industry_flow_leads_leaders,inferred
Space,11,11,-0.089416,-0.132070,0.003900,-0.176600,-0.216426,-0.060759,0.348805,0.904382,7783005.272727,8234774.072727,15002466.245455,0.516424,36.787818,37.077636,37.653033,-0.163223,3.909091,0.000000,0.454545,0.000000,0.000000,0.000000,0.113636,1.000000,0,0.008786,False,neutral,none,unclear,unclear,needs_review
Telecom Infrastructure,1,1,0.031175,-0.000775,-0.065894,-0.068592,-0.115833,0.366525,0.993818,1.577848,75038849.000000,70705829.400000,93440112.350000,1.042140,12.256000,12.749000,13.392000,-0.152360,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0,0.099376,False,weak,none,unclear,unclear,needs_review
