industry_group,ticker_count,tickers_with_data,return_3d,return_5d,return_10d,return_20d,return_1m,return_3m,return_6m,return_1y,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,positive_5d_pct,positive_10d_pct,confirmed_signal_pct,strong_signal_pct,high_relative_volume_pct,breadth_score,rotation_score,momentum_persistence,momentum_acceleration,momentum_exhaustion_warning,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status
AI Infrastructure,6,6,0.186503,0.210790,0.321904,0.418123,0.412305,0.715940,0.926053,1.404733,32503988.888889,25112630.000000,17507106.666667,1.652549,221.140665,208.248333,205.301769,-0.028070,6.166667,0.833333,0.833333,0.666667,0.333333,0.333333,0.641667,-1.000000,0,0.000000,False,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,observed
Adtech,6,6,0.074576,0.126042,0.163911,0.097265,0.145308,0.220235,0.064950,0.055271,7588505.555556,6632103.333333,6075813.333333,0.978456,128.198002,119.280168,114.849417,-0.029359,6.833333,1.000000,1.000000,1.000000,0.000000,0.000000,0.700000,-1.000000,0,-0.000000,False,momentum_leader,none,unclear,unclear,needs_review
Cloud Software,7,7,0.301597,0.276429,0.342259,0.496734,0.557767,0.435260,0.081147,0.271461,28542980.952381,22737731.428571,15845605.714286,1.813818,238.373999,229.044751,216.666949,-0.042386,6.428571,1.000000,1.000000,0.714286,0.285714,1.000000,0.785714,6.000000,3,-0.000000,False,momentum_leader,none,unclear,unclear,needs_review
Consumer Platforms,6,6,0.028532,0.024934,0.050076,0.005143,0.014699,0.007756,-0.102750,-0.191840,19269450.000000,16114780.000000,15072285.000000,0.943299,163.937001,160.381501,156.098000,-0.050644,5.000000,0.666667,0.666667,0.166667,0.000000,0.000000,0.341667,0.000000,0,0.000000,False,neutral,narrow_leadership,unclear,unclear,needs_review
Cybersecurity,6,6,0.260723,0.158676,0.295419,0.570112,0.611455,0.720421,0.412780,0.231123,8702344.444444,8155620.000000,5636052.500000,1.563224,231.142999,224.548166,203.529167,-0.090785,7.500000,0.833333,0.833333,0.833333,0.500000,0.833333,0.766667,-1.000000,0,0.000000,False,momentum_leader,none,unclear,unclear,needs_review
Defense,7,7,-0.020633,-0.020188,0.001720,-0.053733,-0.063271,-0.225179,-0.014897,0.191562,2117657.142857,1887122.857143,1800410.000000,1.054493,336.387810,335.737799,335.386319,-0.038843,5.285714,0.142857,0.857143,0.142857,0.000000,0.285714,0.307143,-3.000000,0,0.000000,False,neutral,none,unclear,unclear,needs_review
Defense Drones,5,5,0.200880,0.308353,0.351492,0.235206,0.213108,0.011036,0.252238,2.618306,44966646.666667,35732492.000000,22180983.000000,1.333601,58.264400,53.477500,51.753750,-0.044746,6.200000,1.000000,1.000000,0.600000,0.400000,0.600000,0.740000,5.000000,4,0.000000,False,momentum_leader,none,unclear,unclear,needs_review
Defensive Healthcare,6,6,-0.024421,-0.034014,-0.002420,-0.001465,-0.007458,-0.034917,0.012067,0.262908,14570105.555556,13252140.000000,12597412.500000,1.047259,174.105665,174.478156,172.919714,-0.040917,4.333333,0.000000,0.500000,0.000000,0.000000,0.166667,0.141667,-6.000000,0,-0.000000,False,weak,none,defensive_rotation,defensive_rotation,inferred
Defensive Staples,6,6,-0.041572,-0.045806,-0.051646,-0.054420,-0.052453,-0.088404,0.041396,0.025521,13416655.555556,12263906.666667,10012980.000000,1.148497,259.591001,267.866498,268.338805,-0.077626,4.166667,0.000000,0.166667,0.000000,0.000000,0.333333,0.075000,-4.000000,0,-0.000000,False,weak,none,defensive_rotation,defensive_rotation,inferred
Energy Storage,5,5,0.034312,0.110420,0.184162,0.571659,0.583752,0.452994,0.657442,2.076327,6770860.000000,6239384.000000,6570756.000000,1.320985,90.024802,84.413201,80.180100,-0.065165,5.200000,0.600000,1.000000,0.200000,0.000000,0.400000,0.460000,-5.000000,0,-0.000000,True,neutral,momentum_exhaustion,unclear,unclear,needs_review
Fintech,6,6,0.087223,0.111021,0.084617,0.058765,0.081020,0.147364,-0.164649,0.114159,32633100.000000,28195040.000000,21876790.833333,1.208715,78.738000,77.786167,78.899333,-0.043523,6.000000,0.833333,0.833333,0.666667,0.333333,0.500000,0.658333,5.000000,0,-0.000000,False,neutral,none,unclear,unclear,needs_review
Market ETFs,8,8,0.011566,0.027527,0.049621,0.069466,0.073894,0.151656,0.213466,0.420586,16217933.791667,15833150.825000,16657883.793750,1.087344,450.256749,444.567375,440.400989,-0.008243,6.875000,1.000000,1.000000,0.875000,0.000000,0.250000,0.693750,-3.000000,0,-0.002553,False,neutral,none,unclear,unclear,needs_review
