ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,return_1m,return_3m,return_6m,return_1y,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,forward_pe,earnings_growth,peg_ratio,peg_rating,peg_status,peg_note,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
ANET,Arista Networks Inc.,AI Infrastructure,2026-06-02,251,0.129194,0.109613,0.237245,0.015699,0.015229,0.407143,0.341674,0.855344,11471531.000000,9718218.600000,13581799.650000,0.665390,163.012000,155.775999,150.485500,-0.023416,7,False,True,False,True,-0.174757,infrastructure_leader,5,0.165096,-0.013504,0.973765,39.404160,0.250000,1.576166,fair,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,observed,very_extended,very_extended,very_extended,overextended,too_extended,9037193,ok,資料日期與本次市場日期一致。
VRT,Vertiv Holdings Co.,AI Infrastructure,2026-06-02,251,0.064644,0.032663,-0.015424,0.010635,0.018824,0.368719,0.861512,1.981160,6138775.000000,5818685.000000,5806891.250000,0.867146,321.509998,322.062000,339.624002,-0.040555,5,True,False,False,False,-0.427426,infrastructure_leader,5,-0.015117,-0.110943,0.844192,37.851980,1.357000,0.278939,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,observed,neutral,extended,extended,early_recovery,too_extended,5035425,ok,資料日期與本次市場日期一致。
DELL,Dell Technologies Inc.,AI Infrastructure,2026-06-02,251,0.373001,0.426872,0.828803,1.056842,1.071228,2.007693,2.288843,2.949321,26106431.666667,22638599.000000,11136454.750000,1.404136,388.909998,327.580997,283.970998,-0.065778,8,True,True,True,True,0.416801,challenger,5,0.532938,-0.065778,0.914395,21.924892,2.825000,0.077610,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,observed,very_extended,extended,very_extended,overextended,too_extended,15637095,ok,資料日期與本次市場日期一致。
HPE,Hewlett Packard Enterprise Co.,AI Infrastructure,2026-06-02,251,0.469511,0.475302,0.701515,0.955765,0.965348,1.611463,1.599540,2.254409,116312152.666667,77978191.600000,32452487.900000,4.536394,44.320000,39.763000,35.623500,-0.022596,8,True,True,True,True,0.289513,non_leader,5,0.576207,0.000000,1.000000,13.882915,-0.303000,,unavailable,invalid_growth,Yahoo Finance earningsGrowth is zero or negative.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,observed,very_extended,very_extended,very_extended,overextended,avoid_for_now,147217258,ok,資料日期與本次市場日期一致。
SMCI,Super Micro Computer Inc.,AI Infrastructure,2026-06-02,251,0.214770,0.352291,0.626256,0.796920,0.851975,0.635267,0.482127,0.161611,66056474.000000,61700304.400000,48099126.100000,1.133325,44.525999,39.279000,35.875000,0.000000,8,True,True,False,True,0.214254,challenger,5,0.398467,-0.173612,0.737680,15.481795,3.260000,0.047490,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,observed,very_extended,neutral,very_extended,overextended,too_extended,54511922,ok,資料日期與本次市場日期一致。
ETN,Eaton Corporation plc,AI Infrastructure,2026-06-02,251,0.039011,0.035944,0.093618,-0.008678,-0.015923,0.181460,0.214490,0.296546,2574760.000000,2577736.000000,2946669.000000,0.700343,405.321997,395.417001,400.028322,-0.015479,6,False,True,False,False,-0.318384,infrastructure_leader,5,0.043976,-0.032877,0.879532,26.563318,-0.094000,,unavailable,invalid_growth,Yahoo Finance earningsGrowth is zero or negative.,momentum_leader,none,risk_on_growth,industry_flow_leads_leaders,observed,neutral,extended,extended,strong_uptrend,too_extended,2063680,ok,資料日期與本次市場日期一致。
NVDA,NVIDIA Corporation,Semiconductors,2026-06-02,251,0.040000,0.037047,0.002249,0.122632,0.122802,0.237612,0.259008,0.578194,222373831.000000,195743738.600000,172426824.650000,0.956117,217.034003,217.895001,217.970502,-0.055175,3,True,False,False,False,-0.224782,core_leader,5,0.022248,-0.054806,0.865112,17.603792,2.145000,0.082069,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,neutral,extended,extended,early_recovery,not_eligible_industry,164860193,ok,資料日期與本次市場日期一致。
AMD,Advanced Micro Devices Inc.,Semiconductors,2026-06-02,251,0.006659,0.035027,0.238842,0.527025,0.446552,1.731291,1.397554,3.445827,28999408.666667,29205205.200000,38785936.300000,0.590055,512.279999,484.401999,456.584502,-0.016571,6,False,True,False,False,0.011810,challenger,5,0.142264,0.000000,1.000000,39.883427,0.912000,0.437318,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,extended,very_extended,very_extended,overextended,not_eligible_industry,22885826,ok,資料日期與本次市場日期一致。
AVGO,Broadcom Inc.,Semiconductors,2026-06-02,251,0.128909,0.141134,0.144660,0.156231,0.143111,0.537663,0.199880,0.890099,35767826.666667,28552016.000000,21491994.000000,1.624748,447.349994,431.630002,428.093500,-0.008665,6,True,True,False,False,-0.082371,core_leader,5,0.124918,0.000000,1.000000,25.959724,0.316000,0.821510,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,extended,very_extended,very_extended,overextended,not_eligible_industry,34919080,ok,資料日期與本次市場日期一致。
TSM,Taiwan Semiconductor Manufacturing Co. Ltd.,Semiconductors,2026-06-02,251,0.051382,0.083358,0.128147,0.112248,0.123268,0.268509,0.540798,1.288459,13110068.000000,12586320.800000,13309650.200000,0.755655,429.672003,416.657999,411.298000,-0.015087,7,True,True,False,False,-0.098884,core_leader,5,0.086050,0.000000,1.000000,22.887545,0.584000,0.391910,undervalued,ok,Forward PEG uses Yahoo forwardPE divided by earningsGrowth percent.,neutral,momentum_exhaustion,risk_on_growth,industry_flow_leads_leaders,inferred,extended,very_extended,very_extended,overextended,not_eligible_industry,10057504,ok,資料日期與本次市場日期一致。
