ticker,theme,holding_status,notes,company_name,industry_group,latest_date,alert_level,action,alert_reason,replacement_industries,replacement_candidates,return_5d,return_10d,relative_strength_vs_industry,risk_warning,watch_status,current_state,industry_regime,industry_risk_flag
MU,Semiconductors,holding,Micron holding,Micron Technology Inc.,Semiconductors,2026-06-03,red,review_replacement,已有 risk_warning,Semiconductors,"PANW (Cybersecurity), ORCL (Cloud Software), ABNB (Consumer Platforms), MGNI (Adtech), TER (Robotics Automation)",0.162816,0.545024,0.303565,True,too_extended,overextended,momentum_leader,none
RKLB,Space,holding,Rocket Lab holding,Rocket Lab USA Inc.,Space,2026-06-03,red,review_replacement,已有 risk_warning；5 日報酬 -23.65%；10 日報酬 -9.90%；相對產業 -18.99%；current_state=falling_knife；watch_status=avoid_for_now；產業狀態 neutral；產業風險 momentum_exhaustion,Semiconductors,"PANW (Cybersecurity), ORCL (Cloud Software), ABNB (Consumer Platforms), MGNI (Adtech), TER (Robotics Automation)",-0.236504,-0.099050,-0.189908,True,avoid_for_now,falling_knife,neutral,momentum_exhaustion
SMR,Nuclear,holding,NuScale Power holding,NuScale Power Corporation,Nuclear,2026-06-03,red,review_replacement,已有 risk_warning；產業狀態 neutral；產業風險 momentum_exhaustion,Semiconductors,"PANW (Cybersecurity), ORCL (Cloud Software), ABNB (Consumer Platforms), MGNI (Adtech), TER (Robotics Automation)",0.016570,0.219682,0.082058,True,not_eligible_industry,pullback_in_uptrend,neutral,momentum_exhaustion
TSM,Semiconductors,holding,Taiwan Semiconductor ADR holding,Taiwan Semiconductor Manufacturing Co. Ltd.,Semiconductors,2026-06-03,yellow,monitor,相對產業 -12.92%,Semiconductors,"PANW (Cybersecurity), ORCL (Cloud Software), ABNB (Consumer Platforms), MGNI (Adtech), TER (Robotics Automation)",0.033023,0.112274,-0.129184,False,too_extended,overextended,momentum_leader,none
NOK,Telecom Infrastructure,holding,Nokia ADR holding,Nokia Oyj,Telecom Infrastructure,2026-06-03,red,review_replacement,已有 risk_warning；產業狀態 neutral,Semiconductors,"PANW (Cybersecurity), ORCL (Cloud Software), ABNB (Consumer Platforms), MGNI (Adtech), TER (Robotics Automation)",0.066964,0.223848,0.000000,True,not_eligible_industry,overextended,neutral,none
IONQ,Quantum Computing,holding,IonQ holding,IonQ Inc.,Quantum Computing,2026-06-03,red,review_replacement,已有 risk_warning；產業風險 momentum_exhaustion,Semiconductors,"PANW (Cybersecurity), ORCL (Cloud Software), ABNB (Consumer Platforms), MGNI (Adtech), TER (Robotics Automation)",0.043272,0.408547,0.000000,True,too_extended,overextended,momentum_leader,momentum_exhaustion
GEV,Renewables,holding,GE Vernova holding,GE Vernova Inc.,Renewables,2026-06-03,red,review_replacement,已有 risk_warning；5 日報酬 -7.03%；10 日報酬 -5.18%；相對產業 -19.84%；current_state=falling_knife；watch_status=avoid_for_now；產業狀態 neutral；產業風險 momentum_exhaustion,Semiconductors,"PANW (Cybersecurity), ORCL (Cloud Software), ABNB (Consumer Platforms), MGNI (Adtech), TER (Robotics Automation)",-0.070289,-0.051828,-0.198388,True,avoid_for_now,falling_knife,neutral,momentum_exhaustion
MSFT,Cloud Software,holding,Microsoft holding,Microsoft Corporation,Cloud Software,2026-06-03,yellow,monitor,相對產業 -14.13%；產業狀態 neutral；產業風險 momentum_exhaustion,Semiconductors,"PANW (Cybersecurity), ORCL (Cloud Software), ABNB (Consumer Platforms), MGNI (Adtech), TER (Robotics Automation)",0.035549,0.025982,-0.141309,False,not_eligible_industry,pullback_in_uptrend,neutral,momentum_exhaustion
EWT,Market ETFs,holding,iShares MSCI Taiwan ETF holding,iShares MSCI Taiwan ETF,Market ETFs,2026-06-03,yellow,monitor,watch_status=avoid_for_now；產業風險 momentum_exhaustion,Semiconductors,"PANW (Cybersecurity), ORCL (Cloud Software), ABNB (Consumer Platforms), MGNI (Adtech), TER (Robotics Automation)",0.038166,0.190026,0.133386,False,avoid_for_now,overextended,momentum_leader,momentum_exhaustion
VUAA.L,Market ETFs,holding,Vanguard S&P 500 UCITS ETF USD Acc holding,Vanguard S&P 500 UCITS ETF USD Acc,Market ETFs,2026-06-03,yellow,monitor,相對產業 -2.50%；watch_status=avoid_for_now；產業風險 momentum_exhaustion,Semiconductors,"PANW (Cybersecurity), ORCL (Cloud Software), ABNB (Consumer Platforms), MGNI (Adtech), TER (Robotics Automation)",0.007726,0.031638,-0.025001,False,avoid_for_now,overextended,momentum_leader,momentum_exhaustion
