ticker,theme,holding_status,notes
MU,Semiconductors,holding,Micron holding
RKLB,Space,holding,Rocket Lab holding
SMR,Nuclear,holding,NuScale Power holding
TSM,Semiconductors,holding,Taiwan Semiconductor ADR holding
NOK,Telecom Infrastructure,holding,Nokia ADR holding
IONQ,Quantum Computing,holding,IonQ holding
GEV,Renewables,holding,GE Vernova holding
MSFT,Cloud Software,holding,Microsoft holding
EWT,Market ETFs,holding,iShares MSCI Taiwan ETF holding
VUAA.L,Market ETFs,holding,Vanguard S&P 500 UCITS ETF USD Acc holding
